Time,SN
1.822985807384615327e+03,0.000000000000000000e+00
1.822988585138461531e+03,0.000000000000000000e+00
1.822991362892307734e+03,0.000000000000000000e+00
1.822994140646153710e+03,0.000000000000000000e+00
1.822996918399999913e+03,1.295966776943608956e+00
1.822999696153846116e+03,3.892665408502928415e+00
1.823002473907692320e+03,9.653546563219675747e+00
1.823005251661538296e+03,7.070294259679095639e+00
1.823008029415384499e+03,4.783987090920629459e-01
1.823010807169230702e+03,1.452292923075616971e+00
1.823013584923076905e+03,0.000000000000000000e+00
1.823016362676923109e+03,0.000000000000000000e+00
1.823019140430769085e+03,0.000000000000000000e+00
1.823021918184615288e+03,0.000000000000000000e+00
1.823024695938461491e+03,5.842934754008893172e+00
1.823027473692307694e+03,4.477551750430670552e+00
1.823030251446153898e+03,0.000000000000000000e+00
1.823033029199999874e+03,0.000000000000000000e+00
1.823035806953846077e+03,0.000000000000000000e+00
1.823038584707692280e+03,1.984769649442259976e+00
1.823041362461538483e+03,1.965883767859166742e-03
1.823044140215384687e+03,1.427459326944862772e+00
1.823046917969230662e+03,3.511651499843872148e+00
1.823049695723076866e+03,0.000000000000000000e+00
1.823052473476923069e+03,0.000000000000000000e+00
1.823055251230769272e+03,0.000000000000000000e+00
1.823058028984615248e+03,7.746252575229505277e-01
1.823060806738461451e+03,0.000000000000000000e+00
1.823063584492307655e+03,0.000000000000000000e+00
1.823066362246153858e+03,0.000000000000000000e+00
1.823069140000000061e+03,0.000000000000000000e+00
1.823071917753846037e+03,0.000000000000000000e+00
1.823074695507692240e+03,0.000000000000000000e+00
1.823077473261538444e+03,0.000000000000000000e+00
1.823080251015384647e+03,2.127802472669911182e+00
1.823083028769230623e+03,0.000000000000000000e+00
1.823085806523076826e+03,0.000000000000000000e+00
1.823088584276923029e+03,2.187063906173564387e+00
1.823091362030769233e+03,7.571981231611373708e+00
1.823094139784615436e+03,0.000000000000000000e+00
1.823096917538461412e+03,0.000000000000000000e+00
